"type","objectname","size_bytes","path"
"blob","fdeaa25d0a689e4e8c0a9a941ad19333711876ca","26264","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/160 x 128/TFT_flash_jpg/jpeg4.h"
"blob","1a07c5cb8054cd2bba77370f20cdafecbf802af1","25801","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Tools/Create_Smooth_Font/Create_font/Create_font.pde"
"blob","2872fd554bbf34f5e1268770dd8ea3cf55cecdfd","25287","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Unicode_test/data/Final-Frontier-28.vlw"
"blob","e046c7a3be7fe0198bd2c420765ba229ea1c6310","25195","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Processors/TFT_eSPI_RP2040.c"
"blob","517d4f257ade435f4d337b44557d3162fa857ad3","24652","Archive/TideClock.zip"
"blob","c605d296b83c07882e3e47b7f24c9c79f77f68e9","24441","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeMono18pt7b.h"
"blob","a53afef096cf4bf6f52bf4d61b7dbc01e75f3a74","24384","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/ESP32_SDcard_jpeg/Data/Baboon40.jpg"
"blob","dad420dcdbe0bdbb527f5a9f8ce338e2fffc7833","24111","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/TomThumb.h"
"blob","c1a9e1010c48a0549b38f911ea2e077481f0ad26","23568","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Processors/TFT_eSPI_ESP32_S3.h"
"blob","1c3c7332ec5fa292560f23dfb6e970667a01056e","23000","Archive/TideClockInfo.docx"
"blob","6fa185854bfecb0cefcd91b4e939025f31dce252","22998","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Processors/TFT_eSPI_ESP32_C3.h"
"blob","2d2ce8aa61ba21b26edfee575d1e9b93b7b10265","22882","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/320 x 240/TFT_graphicstest_PDQ/TFT_graphicstest_PDQ.ino"
"blob","ad60e3dd24b7e32fa39264e980e43ed66aefdf3d","22140","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Processors/TFT_eSPI_ESP32.h"
"blob","faf3e179a66e71706fad8843e07c35df72b23189","21720","Archive/Works6_28/TideDisplayOld/libraries/ArduinoJson/extras/tests/IntegrationTests/openweathermap.cpp"
"blob","f10058fe5cde9333baa27fc7e8aef299f4cec373","21377","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Processors/TFT_eSPI_RP2040.h"
"blob","c7c2f42ebdebfc88fc24e6e3e0c6679b093a88f7","21306","Archive/Works6_28/TideDisplayOld/libraries/ArduinoJson/extras/tests/JsonDeserializer/filter.cpp"
"blob","fabbad3f497e31df7aa740014f697da2e017a1f4","21080","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSansBoldOblique12pt7b.h"
"blob","240b7ef29a6c51eb18625778679b6bdac47be74f","20838","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/ESP32_SDcard_jpeg/Data/EagleEye.jpg"
"blob","0c0c15bcdde5eb6cee7cb94e986ac7caebe048f7","20427","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/README.md"
"blob","efdbd8d11044cbbf3e11103039fba4683ad0e2fe","19992","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSansOblique12pt7b.h"
"blob","c67204ac6eb7fe043c656edac23a066c362d8cc9","19890","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Extensions/Smooth_font.cpp"
"blob","823b9a5aeacae39058bd238b431dd2a3e5a9fd60","19800","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Tools/Create_Smooth_Font/Create_font/data/Final-Frontier.ttf"
"blob","7cc3db2cc457c78e78dd22e49858cf3c0c877145","19608","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/ESP8266_uncannyEyes/ESP8266_uncannyEyes.ino"
"blob","183b98f58d5c787ecf37aa1da0f5240f32de61a9","19414","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/ESP32_SDcard_jpeg/Data/lena20k.jpg"
"blob","1f674e98dbc8baa5850a60cb92c991a5b9f4460b","19248","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSerifBoldItalic12pt7b.h"
